user_id,item_id,timestamp,category,session_length
user_29,item_4,2025-04-20 15:30:01.150289,health,679
user_79,item_10,2025-04-13 18:37:01.150301,health,571
user_31,item_2,2025-04-15 16:05:01.150307,finance,281
user_36,item_18,2025-04-12 20:08:01.150312,health,362
user_67,item_2,2025-03-23 23:06:01.150318,gaming,244
user_54,item_3,2025-04-01 00:38:01.150324,health,421
user_55,item_6,2025-04-20 17:47:01.150329,sports,899
user_91,item_5,2025-03-28 19:28:01.150334,tech,644
user_87,item_11,2025-04-15 13:22:01.150339,sports,853
user_52,item_20,2025-04-12 23:52:01.150344,finance,636
user_79,item_8,2025-04-11 14:05:01.150349,sports,388
user_46,item_3,2025-04-08 02:32:01.150354,sports,451
user_44,item_10,2025-04-03 03:54:01.150359,sports,498
user_4,item_14,2025-04-04 08:00:01.150364,finance,464
user_100,item_8,2025-04-07 07:19:01.150369,health,846
user_92,item_2,2025-04-19 22:53:01.150374,gaming,798
user_96,item_8,2025-04-03 10:10:01.150379,tech,328
user_7,item_10,2025-04-01 03:12:01.150384,health,267
user_73,item_13,2025-03-31 04:19:01.150389,tech,878
user_71,item_17,2025-03-29 03:38:01.150393,health,810
user_66,item_7,2025-03-25 23:52:01.150398,tech,33
user_73,item_8,2025-04-04 18:44:01.150403,tech,114
user_89,item_14,2025-04-09 14:21:01.150408,health,142
user_88,item_3,2025-04-09 05:20:01.150413,gaming,817
user_85,item_6,2025-04-09 00:17:01.150418,finance,417
user_43,item_10,2025-04-04 13:58:01.150423,gaming,308
user_59,item_9,2025-04-07 00:49:01.150428,health,133
user_60,item_11,2025-04-07 21:57:01.150432,gaming,490
user_1,item_5,2025-04-06 15:14:01.150437,gaming,259
user_41,item_7,2025-04-05 00:05:01.150442,tech,789
user_51,item_7,2025-04-04 02:22:01.150447,tech,241
user_100,item_14,2025-04-01 15:41:01.150452,sports,182
user_44,item_14,2025-04-15 03:04:01.150457,tech,760
user_3,item_1,2025-04-05 18:24:01.150462,finance,718
user_66,item_3,2025-04-20 02:08:01.150467,tech,625
user_80,item_13,2025-04-07 04:22:01.150471,gaming,780
user_92,item_20,2025-03-27 20:15:01.150476,health,300
user_61,item_16,2025-03-31 14:00:01.150481,sports,308
user_69,item_12,2025-04-05 08:53:01.150486,health,560
user_43,item_8,2025-03-23 23:39:01.150491,finance,203
user_55,item_14,2025-03-26 18:30:01.150496,gaming,883
user_91,item_4,2025-04-09 08:19:01.150501,tech,102
user_25,item_7,2025-04-09 03:57:01.150506,finance,84
user_42,item_6,2025-03-24 02:54:01.150511,sports,166
user_23,item_8,2025-04-20 06:40:01.150515,sports,269
user_18,item_12,2025-04-12 17:56:01.150520,sports,869
user_99,item_15,2025-04-08 17:57:01.150525,sports,352
user_32,item_16,2025-04-08 08:50:01.150530,tech,789
user_69,item_3,2025-03-24 13:32:01.150535,sports,508
user_16,item_17,2025-03-29 20:08:01.150540,tech,523
user_44,item_18,2025-04-20 17:35:01.150545,finance,279
user_64,item_19,2025-03-25 07:44:01.150550,tech,394
user_46,item_11,2025-04-01 01:46:01.150555,tech,573
user_20,item_3,2025-03-23 20:38:01.150560,health,121
user_48,item_1,2025-03-30 10:35:01.150565,gaming,266
user_18,item_11,2025-04-06 13:06:01.150570,gaming,760
user_68,item_18,2025-04-20 23:56:01.150575,sports,510
user_45,item_18,2025-03-26 02:47:01.150579,health,535
user_95,item_11,2025-04-13 06:05:01.150584,finance,227
user_6,item_19,2025-03-31 15:41:01.150589,sports,314
user_90,item_14,2025-04-02 22:14:01.150594,tech,298
user_92,item_10,2025-04-11 20:00:01.150599,tech,371
user_29,item_9,2025-03-31 02:46:01.150604,health,354
user_19,item_20,2025-03-25 04:24:01.150609,health,428
user_61,item_5,2025-03-23 06:37:01.150613,gaming,66
user_21,item_13,2025-03-22 10:31:01.150618,health,861
